# ID     RA1         DEC1        RA2         DEC2
154-240  5:35:15.394 -5:22:39.61 5:35:15.354 -5:22:39.71
163-249  5:35:16.340 -5:22:48.79 5:35:16.324 -5:22:48.80
165-235S 5:35:16.487 -5:22:35.29 5:35:16.458 -5:22:35.22
165-235N 5:35:16.488 -5:22:34.97 5:35:16.479 -5:22:34.97
173-236  5:35:17.366 -5:22:35.56 5:35:17.332 -5:22:35.44
181-247  5:35:18.075 -5:22:46.83 5:35:18.093 -5:22:46.97
176-252  5:35:17.637 -5:22:51.48 5:35:17.645 -5:22:51.48
175-251  5:35:17.471 -5:22:51.01 5:35:17.484 -5:22:51.05
170-249  5:35:16.951 -5:22:48.12 5:35:16.984 -5:22:48.15
178-258  5:35:17.809 -5:22:57.82 5:35:17.850 -5:22:58.04
174-305  5:35:17.366 -5:23:04.69 5:35:17.370 -5:23:04.74
170-301  5:35:16.968 -5:23:00.67 5:35:16.979 -5:23:00.70
166-250  5:35:16.581 -5:22:50.07 5:35:16.591 -5:22:50.07
189-329  5:35:18.880 -5:23:28.75 5:35:18.879 -5:23:28.89
180-331  5:35:18.062 -5:23:30.60 5:35:18.052 -5:23:30.89
182-316  5:35:18.190 -5:23:31.35 5:35:18.184 -5:23:31.56
148-305  5:35:14.793 -5:23:04.51 5:35:14.787 -5:23:04.62
142-301  5:35:14.130 -5:23:00.27 5:35:14.103 -5:23:01.15
139-320  5:35:13.908 -5:23:19.97 5:35:13.907 -5:23:20.12
147-323  5:35:14.706 -5:23:22.62 5:35:14.705 -5:23:22.93
149-329  5:35:14.913 -5:23:28.95 5:35:14.915 -5:23:29.04
155-338  5:35:15.495 -5:23:37.32 5:35:15.515 -5:23:37.59
159-338  5:35:15.881 -5:23:38.02 5:35:15.891 -5:23:38.14
160-350  5:35:15.952 -5:23:49.68 5:35:15.964 -5:23:49.72
159-350  5:35:15.917 -5:23:50.06 5:35:15.958 -5:23:50.19
170-337  5:35:16.967 -5:23:37.28 5:35:16.993 -5:23:37.13
171-340  5:35:17.040 -5:23:39.95 5:35:17.071 -5:23:39.66
169-338  5:35:16.880 -5:23:38.11 5:35:16.886 -5:23:38.08
173-341  5:35:17.322 -5:23:41.46 5:35:17.332 -5:23:41.38
177-341W 5:35:17.669 -5:23:41.30 5:35:17.699 -5:23:40.89
177-341E 5:35:17.735 -5:23:41.08 5:35:17.737 -5:23:41.05
175-355  5:35:17.528 -5:23:55.03 5:35:17.541 -5:23:54.91
179-354  5:35:17.962 -5:23:53.57 5:35:17.968 -5:23:53.49
191-350  5:35:19.065 -5:23:49.89 5:35:19.085 -5:23:49.47
166-406  5:35:16.563 -5:24:06.08 5:35:16.575 -5:24:06.12
174-400  5:35:17.368 -5:24:00.33 5:35:17.387 -5:24:00.25
170-400  5:35:16.944 -5:23:59.59 5:35:16.963 -5:23:59.51
168-404  5:35:16.748 -5:24:04.32 5:35:16.768 -5:24:04.29
176-325  5:35:17.569 -5:23:24.65 5:35:17.569 -5:23:24.92
182-316  5:35:18.247 -5:23:15.37 5:35:18.250 -5:23:15.59
190-251  5:35:19.031 -5:22:50.42 5:35:19.038 -5:22:50.51
204-330  5:35:20.420 -5:23:29.71 5:35:20.420 -5:23:29.60
205-330  5:35:20.473 -5:23:29.88 5:35:20.472 -5:23:29.57
150-231  5:35:15.024 -5:22:30.81 5:35:15.011 -5:22:30.85
133-353  5:35:13.292 -5:23:52.97 5:35:13.299 -5:23:53.14
168-326E 5:35:16.846 -5:23:26.25 5:35:16.839 -5:23:26.47
168-326W 5:35:16.824 -5:23:25.94 5:35:16.821 -5:23:26.03
168-328  5:35:16.763 -5:23:28.11 5:35:16.757 -5:23:28.20
161-328  5:35:16.066 -5:23:27.89 5:35:16.059 -5:23:27.72
158-327  5:35:15.782 -5:23:26.76 5:35:15.769 -5:23:26.41
158-326  5:35:15.831 -5:23:25.65 5:35:15.826 -5:23:25.43
161-324  5:35:16.044 -5:23:24.36 5:35:16.043 -5:23:24.26
158-323  5:35:15.804 -5:23:22.54 5:35:15.805 -5:23:22.37
157-323  5:35:15.705 -5:23:22.50 5:35:15.705 -5:23:22.40
167-317  5:35:16.738 -5:23:16.19 5:35:16.753 -5:23:16.30
166-316  5:35:16.603 -5:23:15.93 5:35:16.610 -5:23:15.98
163-317  5:35:16.264 -5:23:16.34 5:35:16.276 -5:23:16.31
154-324  5:35:15.342 -5:23:24.01 5:35:15.342 -5:23:24.11
152-319  5:35:15.203 -5:23:18.48 5:35:15.191 -5:23:18.84
159-418  5:35:15.886 -5:24:17.86 5:35:15.907 -5:24:17.88
174-414  5:35:17.376 -5:24:13.98 5:35:17.394 -5:24:13.96
182-413  5:35:18.185 -5:24:13.36 5:35:18.246 -5:24:12.95
181-401  5:35:18.060 -5:24:01.24 5:35:18.069 -5:24:01.22
154-225  5:35:15.368 -5:22:25.14 5:35:15.356 -5:22:25.16
161-314  5:35:16.089 -5:23:14.08 5:35:16.101 -5:23:14.03
163-323  5:35:16.312 -5:23:22.65 5:35:16.313 -5:23:22.55
153-321  5:35:15.342 -5:23:21.27 5:35:15.342 -5:23:21.35
167-231  5:35:16.739 -5:22:31.18 5:35:16.717 -5:22:31.18
171-334  5:35:17.057 -5:23:34.18 5:35:17.068 -5:23:34.05
