Comparison	Variable	mean A	mean B	sigma A	sigma B	delta A	delta B	r_b	d_c	sig/tau	K-S p	r_b p	B-F p
Environment: Facing	Rc	1.802	1.784	0.705	0.738	0.093	0.085	-0.035	-0.026	1.046	0.259	0.727	0.671
Environment: Facing	R90	1.699	1.674	0.281	0.304	0.239	0.223	-0.078	-0.088	1.081	0.883	0.439	0.919
Environment: Facing	R90_asym	0.182	0.201	0.153	0.160	nan	nan	0.061	0.120	1.042	0.69	0.549	0.549
Environment: H II	Rc	1.802	1.620	0.705	0.756	0.093	0.105	-0.265	-0.257	1.072	0.0201	0.0804	0.422
Environment: H II	R90	1.699	1.636	0.281	0.360	0.239	0.220	-0.224	-0.216	1.279	0.11	0.14	0.0601
Environment: H II	R90_asym	0.182	0.185	0.153	0.147	nan	nan	0.067	0.020	0.963	0.465	0.658	0.323
Single/Multiple source candidate	Rc	1.738	1.919	0.668	0.820	0.094	0.087	0.134	0.254	1.228	0.779	0.125	0.258
Single/Multiple source candidate	R90	1.678	1.723	0.291	0.292	0.234	0.239	0.099	0.153	1.005	0.554	0.257	0.613
Single/Multiple source candidate	R90_asym	0.182	0.197	0.157	0.145	nan	nan	0.067	0.097	0.927	0.544	0.439	0.379
With/without 8 micron	Rc	1.749	1.796	0.545	0.753	0.099	0.090	-0.039	0.065	1.382	0.882	0.688	0.233
With/without 8 micron	R90	1.687	1.691	0.298	0.290	0.222	0.238	0.012	0.014	0.973	0.91	0.9	0.89
With/without 8 micron	R90_asym	0.198	0.183	0.193	0.142	nan	nan	0.028	-0.098	0.738	0.771	0.772	0.226
3-star/4+-star	Rc	1.615	2.026	0.618	0.773	0.108	0.070	0.390	0.599	1.250	0.000411	5.64e-07	0.128
3-star/4+-star	R90	1.621	1.787	0.276	0.286	0.244	0.223	0.369	0.592	1.036	0.000183	2.24e-06	0.852
3-star/4+-star	R90_asym	0.183	0.189	0.153	0.156	nan	nan	-0.000	0.039	1.017	0.479	0.999	0.4
Low/high extinction	Rc	1.769	1.805	0.761	0.672	0.096	0.088	0.067	0.050	0.883	0.771	0.388	0.477
Low/high extinction	R90	1.681	1.697	0.269	0.314	0.234	0.236	0.021	0.055	1.168	0.771	0.789	0.415
Low/high extinction	R90_asym	0.189	0.184	0.139	0.168	nan	nan	-0.069	-0.032	1.207	0.572	0.373	0.306
Low/high R0	Rc	1.696	1.874	0.668	0.750	0.115	0.070	0.171	0.251	1.123	0.431	0.0261	0.66
Low/high R0	R90	1.670	1.710	0.266	0.314	0.251	0.220	0.103	0.135	1.180	0.0351	0.18	0.184
Low/high R0	R90_asym	0.174	0.197	0.148	0.159	nan	nan	0.049	0.148	1.073	0.345	0.521	0.201
Faint/bright H magnitude	Rc	1.701	1.872	0.605	0.806	0.101	0.084	0.103	0.240	1.333	0.379	0.182	0.0588
Faint/bright H magnitude	R90	1.655	1.724	0.255	0.322	0.238	0.232	0.147	0.237	1.262	0.018	0.057	0.0884
Faint/bright H magnitude	R90_asym	0.176	0.196	0.152	0.155	nan	nan	0.087	0.130	1.019	0.921	0.261	0.833
Low/high |b|	Rc	1.769	1.804	0.713	0.719	0.089	0.095	0.010	0.049	1.009	0.974	0.896	0.771
Low/high |b|	R90	1.690	1.691	0.315	0.266	0.242	0.228	0.015	0.004	0.844	0.653	0.85	0.534
Low/high |b|	R90_asym	0.182	0.190	0.151	0.157	nan	nan	0.045	0.050	1.040	0.415	0.556	0.683
High/low cos(l)	Rc	1.797	1.771	0.714	0.719	0.094	0.089	-0.027	-0.035	1.007	0.724	0.728	0.999
High/low cos(l)	R90	1.700	1.676	0.284	0.302	0.236	0.234	-0.021	-0.081	1.063	0.973	0.792	0.937
High/low cos(l)	R90_asym	0.174	0.204	0.146	0.164	nan	nan	0.088	0.197	1.124	0.871	0.262	0.327
OB vs Orion	Rc	1.787	3.090	0.716	1.666	nan	nan	0.557	1.581	2.325	0.000456	8.48e-05	2.42e-05
OB vs Orion	R90	1.690	2.532	0.292	0.749	nan	nan	0.735	2.428	2.568	4.28e-06	2.13e-07	1.26e-08
OB vs Orion	R90_asym	0.186	0.329	0.154	0.257	nan	nan	0.349	0.874	1.666	0.0185	0.0137	0.0199
OB vs RSG	Rc	1.787	1.479	0.716	0.227	nan	nan	-0.238	-0.443	0.317	0.0011	0.112	0.0108
OB vs RSG	R90	1.690	1.410	0.292	0.101	nan	nan	-0.648	-0.990	0.345	2.19e-05	1.5e-05	0.00549
OB vs RSG	R90_asym	0.186	0.073	0.154	0.038	nan	nan	-0.442	-0.743	0.246	0.013	0.0181	0.00698
