Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	H_d_out	H_d_in	R0_g	Peak24	Contrast	Rating	Comment
1	G000.1169-00.5703	17	48	7.01	-	29	7	55.5	T		Y	C	26.4	27	8.97	8.72	0.22	I	30.514868183331945	0.20453806811729125	1.8431001933754152	-25.156899806624583	38.540056257616335	1.3428517627256429	52.83398596224494	4.263549168188854	46.704247119028494	3.6980624272508846	83.33418828112671	-72.3109884181141	47.54607361924775	-30.502401030422334	125.7546186824647	-110.20410313403323	6.808235635116195	140.5785463904082	49.08355429634252	46.72717793432835	-7.953083649668457	54.68026158399681	30.23474341662839	122.38243082742821	0.3027155719594671	4	
2	G000.3100-01.0495	17	50	27.59	-	29	12	46.8	T		N	C	6.8	145	10.57	10.31	0.23	I	14.153974848549487	0.592200423315329	113.90694089531006	-31.093059104689942	21.919628526711364	1.0526374485772094	11.951180354672497	0.9821490352741113	14.916912705602618	1.130026970889954	nan	-133.1754990417219	39.01656310648224	-48.570617431807634	nan	nan	0.0	141.0	32.05554819140984	44.26932646367058	20.54686126762101	23.72246519604957	33.58387331014378	18.728535145793497	0.053391135994371536	3	
3	G001.0563-00.1499	17	48	41.78	-	28	6	37.8	T		Y		6.2	200	11.14	9.8	1.22	H																										0	missing
4	G001.2588-00.0780	17	48	53.4	-	27	53	59.7	T		N	C	10.2	215	12.28	11.22	0.96	FH	12.483413847699069	0.3440850748650361	211.77094166698606	-3.2290583330139384	32.98115707167009	0.7979594113314525	24.150261162918742	2.8177978388786284	19.349629932342474	1.9059116617372505	93.28490959543973	-91.99177273081956	59.36909966633647	-48.96041297221032	123.61077605062127	-146.92303859988073	1.9820007191314282	191.420391523389	32.950128987413684	33.11363941118801	3.0163711299785554	30.097268281209455	11.811689397271124	34.77325476220037	0.0933227259092762	3	
5	G003.5118-00.0470	17	53	56.0	-	25	56	50.3	T		N		8.6	135	10.69	9.69	0.91	I	9.285528201980453	0.48790314424542175	123.90971543738351	-11.090284562616489	20.841106705114058	0.5628884513657965	16.876939709962404	0.9358579180332641	12.04790932497309	1.4191904617003255	132.33133391328602	-130.26955508401392	62.17181641197632	-71.99062375312954	172.06608583572552	-174.639255816814	-4.600681492300338	156.30675334428378	17.866125080631235	30.139569928186503	5.570313232996689	24.569256695189814	10.16478975744687	2.4095689832846037	0.006884523946579831	3	
6	G003.7391+00.1425	17	53	43.03	-	25	39	19.2	T		N		3.9	20	11.48	9.41	1.89	I																										0	missing
7	G003.8417-01.0440	17	58	30.64	-	26	9	49.1	T		Y		12.6	25	10.22	9.87	0.31	FB	12.014733528472	0.29264714931103697	29.436151130347245	4.436151130347245	112.32598529152484	0.6109953043467372	26.288336840849748	1.5027930952010624	nan	nan	98.73060297525056	-140.6852677643152	66.4325419526376	-41.059375976987326	177.53658090708345	-175.0664469098466	8.439433062668417	107.35201375597082	6.665242812648922	6.816936996497942	-8.005344019277327	14.82228101577527	11.837243383166932	3.780115426391923	0.010483261998071196	0	missing
8	G004.3087+00.2222	17	54	41.06	-	25	7	25.6	T		N		10.1	260	13.94	12.1	1.68	I																										2	too small
9	G004.7315-00.3875	17	57	57.06	-	25	3	53.6	T		N	C	10.1	125	13.3	11.77	1.39	I	17.045269589539735	0.5711461022332137	148.80598035031366	23.80598035031366	23.436197300196305	0.9964028790301094	25.949541488973523	4.226359182058246	20.38688426610806	1.2317730572536838	80.55713719726879	-70.02684551326496	44.31061236080396	-42.44545118914061	121.79703557318146	-123.40008633374825	0.6922934830625965	124.79714967169339	36.06761993932125	33.91579266233394	-1.2354453194165345	35.15123798175047	16.084219273312844	16.05664166777573	0.0471116130928025	3	
10	G004.8449-00.9309	18	0	17.05	-	25	14	14.7	T	HD314937	N		3.1	140	9.36	9.31	0.03	I	10.24770628699863	1.0361974219537977	143.2213895523806	3.2213895523806	343.65350353104816	1.0230114502390575	16.713491049845942	1.9466508852940414	22.007194037928933	2.088445427372136	93.42952714895048	-101.40351053301225	59.591765612295234	-70.11291762533678	140.01934194377947	-152.05956261791505	-5.115675470678359	179.75943206579007	21.489668292505122	36.09191239523778	6.2582911570608655	29.83362123817691	11.859152885483692	2.9950668397002254	0.00880500686498139	3	
11	G005.5941+00.7335	17	55	36.02	-	23	45	21.8	T		N		7.6	350	9.78	9.22	0.5	I																										2	too small
12	G005.6985-00.6350	18	1	6.02	-	24	21	34.4	T		N		20.8	180	11.56	9.11	2.24	I	19.46756814154474	0.004001203164198941	188.6744902244964	8.674490224496395	51.34825845887622	0.8099978935285824	28.19191952020945	1.0576302707048781	nan	nan	134.2321455418977	-130.86296344850354	74.64661062455414	-51.090435766645925	140.5669825248931	-165.92863185513158	11.614668526379363	163.01573577789313	35.11769037212318	48.130175547756224	1.1303355126035441	46.99984003515269	24.32196467444992	19.13371285958554	0.05143999735078541	3	
13	G006.2812+23.5877	16	37	9.54	-	10	34	1.5	V88	Zeta Oph	-		299.0	30	2.59		-99.0	I	295.5653624982375	1.70574126091023	21.447740988322415	-8.552259011677585	548.0141044512578	2.46417231198789	762.1270118025938	91.90453593877102	499.3489530124298	60.79351644733566	68.547071430073	-79.76680695856868	61.06635555257711	-18.459622087858357	74.3242628429655	-104.29731404309217	-0.12245004923752219	163.96292875649723	158.48920166550263	143.3116767681451	-270.58762044824124	413.89929721638634	256.8831905477577	63.52108512880181	0.24862825532799784	5	
14	G006.2977-00.2012	18	0	40.59	-	23	36	50.7	T		N	C	24.0	210	13.07	12.16	0.82	H	23.464162909698395	1.478870382296554	187.79821370391053	-22.201786296089466	22.421912552579048	0.9267813642381955	31.743416858809553	2.663593472744461	30.394956662387322	1.9930033782424197	97.46563080915706	-96.31886540472952	41.832703029197575	-63.00560527758938	132.29040239217596	-131.7770054657085	-2.3362085932723393	184.18262321139682	24.422311488393785	59.35018997025671	-2.6356020662489357	61.98579203650564	32.94416287038567	9.683312992521548	0.02471780335338395	3	
15	G006.3600-00.1846	18	0	44.92	-	23	33	6.3	T		N		5.5	110	9.32	9.11	0.18	I																										0	missing
16	G006.8933+00.0743	18	0	55.27	-	22	57	36.9	T		N	C	29.0	65	8.73	8.36	0.33	I	30.035282163280456	0.019857674558311444	50.741795131304386	-14.258204868695614	58.7819110300913	1.1790644762762412	nan	nan	51.56141808573127	2.3677937588824762	56.472169649553265	-96.32512518140697	27.520591433714344	-62.377453671983055	75.38850201019957	-119.70684430978963	-22.216063554053104	131.94385132530434	38.64623612183844	46.84670883065829	-2.893073228502466	49.73978205916075	29.99154639939772	32.18678025270121	0.08158327634835442	4	
17	G007.5265-00.2652	18	3	33.49	-	22	34	38.3	T		N		4.1	350	9.06	8.11	0.86	I	6.333930940053444	2.47746517249737	354.62824800492683	4.6282480049268315	2.829324488237942	1.0780259273403412	7.2334644008977405	3.2365725004746793	7.443512744789597	2.085076050487096	nan	nan	6.617728051172264	-107.72506535115153	nan	nan	0.0	141.0	12.836253296688666	20.79192137770608	-0.0949297462213945	20.88685112392747	8.474060955661134	0.6148496844543195	0.0016490816377226444	1	too small
18	G008.3690+00.0239	18	4	15.53	-	21	42	5.3	T		N	C	27.0	50	9.07	8.3	0.69	I	25.662924236184953	0.5841429301060757	39.00637809469966	-10.993621905300337	41.3872446424182	0.5562115465364665	50.620798644098834	3.960377198159299	45.66052108166212	3.0775669046235468	76.7013030874769	-83.71571351584612	53.74713705109971	-53.35704334263551	103.00547110715883	-112.50450955309731	-2.9070163555504553	166.952225643398	39.708712058211084	43.50672818090955	-7.8457843632868105	51.35251254419636	24.797719219098976	64.08464602727075	0.16267104022520856	5	excellent
